,label,feature,normalised_value,raw_value,dp,unit,color,plotting_id
195,MLI,med_isi,-0.20750038322376285,0.0331666666666666,NewDH12_211201_loccar1_2,637,crimson,11033
196,MLI,med_isi,-0.23521006172879952,0.0288666666666666,NewDH12_211201_loccar1_2,766,crimson,11034
197,PkC_ss,med_isi,-0.3761212950567372,0.007,NewDH12_211201_loccar1_2,532,darkblue,11035
198,PkC_ss,med_isi,-0.38127658408093007,0.0062,NewDH12_211201_loccar1_2,503,darkblue,11036
199,PkC_ss,med_isi,-0.3570037649253558,0.0099666666666666,NewDH12_211201_loccar1_2,488,darkblue,11037
200,PkC_ss,med_isi,-0.3610850354028416,0.0093333333333333,NewDH12_211201_loccar1_2,491,darkblue,11038
201,PkC_ss,med_isi,-0.3608702316935004,0.0093666666666666,NewDH12_211201_loccar1_2,784,darkblue,11039
202,PkC_ss,med_isi,-0.3713956134512273,0.0077333333333333,NewDH12_211201_loccar1_2,419,darkblue,11040
203,PkC_ss,med_isi,-0.3799877618248818,0.0064,NewDH12_211201_loccar1_2,392,darkblue,11041
204,PkC_ss,med_isi,-0.3505596536451147,0.0109666666666666,NewDH12_211201_loccar1_2,462,darkblue,11042
205,PkC_ss,med_isi,-0.37182522086991027,0.0076666666666666,loccar10_20_KS2.0nocarReal_1651_220628,104,darkblue,11043
206,PkC_ss,med_isi,-0.3580777834720622,0.0098,loccar10_20_KS2.0nocarReal_1651_220628,463,darkblue,11044
207,PkC_ss,med_isi,-0.33337535689780495,0.0136333333333333,loccar10_20_KS2.0nocarReal_1651_220628,74,darkblue,11045
208,PkC_ss,med_isi,-0.38299501375566125,0.0059333333333333,loccar10_20_KS2.0nocarReal_1651_220628,75,darkblue,11046
209,PkC_ss,med_isi,-0.3580777834720622,0.0098,loccar10_20_KS2.0nocarReal_1651_220628,35,darkblue,11047
210,MLI,med_isi,0.07367767230408973,0.0768,1658_220731_g1_loccar1_2,107,crimson,11048
211,MLI,med_isi,-0.34669318687697004,0.0115666666666666,DH12_211201g2_2.0usual_1_1000,188,crimson,11049
212,MLI,med_isi,-0.35550013895996574,0.0102,DH12_211201g2_2.0usual_1_1000,96,crimson,11050
213,MLI,med_isi,-0.33423457173517024,0.0135,DH12_211201g2_2.0usual_1_1000,88,crimson,11051
214,MLI,med_isi,-0.26786022554868716,0.0238,DH12_211201g2_2.0usual_1_1000,69,crimson,11052
215,MLI,med_isi,-0.1254453662553594,0.0459,1658_220801_g2_loccar1_2,197,crimson,11053
216,MFB,mode_isi,-0.5556843974079679,0.001,1660_220816a_g1_loccar1_2,258,indigo,1100
217,MFB,mode_isi,-0.5161495390943576,0.002,1660_220816a_g1_loccar1_2,261,indigo,1101
218,MFB,mode_isi,-0.5556843974079679,0.001,1660_220816a_g1_loccar1_2,528,indigo,1102
219,MFB,mode_isi,-0.5556843974079679,0.001,1660_220816a_g1_loccar1_2,189,indigo,1103
220,MFB,mode_isi,-0.5556843974079679,0.001,1660_220816a_g1_loccar1_2,545,indigo,1104
221,MFB,mode_isi,-0.5556843974079679,0.001,1660_220816a_g1_loccar1_2,542,indigo,1105
222,MFB,mode_isi,-0.5556843974079679,0.001,1660_220816a_g1_loccar1_2,543,indigo,1106
223,PkC_ss,mode_isi,-0.4370798224671368,0.004,1660_220816a_g1_loccar1_2,82,darkblue,1107
224,PkC_ss,mode_isi,-0.35801010583991605,0.006,1660_220816a_g1_loccar1_2,84,darkblue,1108
225,PkC_cs,mode_isi,3.239662000698627,0.097,1660_220816a_g1_loccar1_2,83,orangered,1109
226,PkC_cs,mode_isi,2.844313417562523,0.087,1660_220816a_g1_loccar1_2,474,orangered,11010
227,MFB,mode_isi,-0.5556843974079679,0.001,1660_220817_g1_loccar1_2,196,indigo,11011
228,MFB,mode_isi,-0.5161495390943576,0.002,1660_220817_g1_loccar1_2,619,indigo,11012
229,MFB,mode_isi,-0.5556843974079679,0.001,1660_220817_g1_loccar1_2,617,indigo,11013
230,MFB,mode_isi,-0.5161495390943576,0.002,1660_220817_g1_loccar1_2,262,indigo,11014
231,MFB,mode_isi,-0.5556843974079679,0.001,1660_220817_g1_loccar1_2,603,indigo,11015
232,PkC_ss,mode_isi,-0.27894038921269537,0.008,1660_220817_g1_loccar1_2,143,darkblue,11016
233,PkC_ss,mode_isi,0.7885007852547844,0.035,1660_220817_g1_loccar1_2,639,darkblue,11017
234,PkC_ss,mode_isi,-0.12080095595825391,0.012,1660_220817_g1_loccar1_2,63,darkblue,11018
235,PkC_cs,mode_isi,2.409429976112809,0.076,1660_220817_g1_loccar1_2,116,orangered,11019
236,PkC_cs,mode_isi,2.686173984308082,0.083,1660_220817_g1_loccar1_2,638,orangered,11020
237,PkC_cs,mode_isi,2.7652437009353026,0.085,1660_220817_g1_loccar1_2,643,orangered,11021
238,MLI,mode_isi,0.3536173438050704,0.024,1652_220718a_g2_NoCarForReal_Loccar1_2,231,crimson,11022
239,MLI,mode_isi,-0.47661468078074715,0.003,1652_220718a_g2_NoCarForReal_Loccar1_2,216,crimson,11023
240,MLI,mode_isi,-0.4370798224671368,0.004,1652_220718a_g2_NoCarForReal_Loccar1_2,204,crimson,11024
241,MLI,mode_isi,-0.47661468078074715,0.003,1652_220718a_g2_NoCarForReal_Loccar1_2,199,crimson,11025
242,MLI,mode_isi,-0.47661468078074715,0.003,1652_220718a_g2_NoCarForReal_Loccar1_2,193,crimson,11026
243,MFB,mode_isi,-0.5556843974079679,0.001,1648_220406g0_KS2.0loccar1_2,199,indigo,11027
244,MFB,mode_isi,-0.5556843974079679,0.001,1648_220406g0_KS2.0loccar1_2,200,indigo,11028
245,MFB,mode_isi,-0.5161495390943576,0.002,1648_220406g0_KS2.0loccar1_2,204,indigo,11029
246,MFB,mode_isi,-0.5161495390943576,0.002,1648_220406g0_KS2.0loccar1_2,205,indigo,11030
247,MFB,mode_isi,-0.5556843974079679,0.001,1648_220406g0_KS2.0loccar1_2,206,indigo,11031
248,MFB,mode_isi,-0.5556843974079679,0.001,1648_220406g0_KS2.0loccar1_2,208,indigo,11032
249,MLI,mode_isi,0.5117567770595118,0.028,NewDH12_211201_loccar1_2,637,crimson,11033
250,MLI,mode_isi,0.07687333560979794,0.017,NewDH12_211201_loccar1_2,766,crimson,11034
251,PkC_ss,mode_isi,-0.4370798224671368,0.004,NewDH12_211201_loccar1_2,532,darkblue,11035
252,PkC_ss,mode_isi,-0.39754496415352647,0.005,NewDH12_211201_loccar1_2,503,darkblue,11036
253,PkC_ss,mode_isi,-0.35801010583991605,0.006,NewDH12_211201_loccar1_2,488,darkblue,11037
254,PkC_ss,mode_isi,-0.35801010583991605,0.006,NewDH12_211201_loccar1_2,491,darkblue,11038
255,PkC_ss,mode_isi,-0.35801010583991605,0.006,NewDH12_211201_loccar1_2,784,darkblue,11039
256,PkC_ss,mode_isi,-0.39754496415352647,0.005,NewDH12_211201_loccar1_2,419,darkblue,11040
257,PkC_ss,mode_isi,-0.4370798224671368,0.004,NewDH12_211201_loccar1_2,392,darkblue,11041
258,PkC_ss,mode_isi,-0.27894038921269537,0.008,NewDH12_211201_loccar1_2,462,darkblue,11042
259,PkC_ss,mode_isi,-0.39754496415352647,0.005,loccar10_20_KS2.0nocarReal_1651_220628,104,darkblue,11043
260,PkC_ss,mode_isi,-0.27894038921269537,0.008,loccar10_20_KS2.0nocarReal_1651_220628,463,darkblue,11044
261,PkC_ss,mode_isi,-0.12080095595825391,0.012,loccar10_20_KS2.0nocarReal_1651_220628,74,darkblue,11045
262,PkC_ss,mode_isi,-0.4370798224671368,0.004,loccar10_20_KS2.0nocarReal_1651_220628,75,darkblue,11046
263,PkC_ss,mode_isi,-0.27894038921269537,0.008,loccar10_20_KS2.0nocarReal_1651_220628,35,darkblue,11047
264,MLI,mode_isi,2.1326859679175367,0.069,1658_220731_g1_loccar1_2,107,crimson,11048
265,MLI,mode_isi,-0.3184752475263057,0.007,DH12_211201g2_2.0usual_1_1000,188,crimson,11049
266,MLI,mode_isi,-0.39754496415352647,0.005,DH12_211201g2_2.0usual_1_1000,96,crimson,11050
267,MLI,mode_isi,-0.47661468078074715,0.003,DH12_211201g2_2.0usual_1_1000,88,crimson,11051
268,MLI,mode_isi,0.195477910550629,0.02,DH12_211201g2_2.0usual_1_1000,69,crimson,11052
269,MLI,mode_isi,0.5908264936867326,0.03,1658_220801_g2_loccar1_2,197,crimson,11053
270,MFB,prct5ISI,-0.42724911669625043,0.0012666666666666,1660_220816a_g1_loccar1_2,258,indigo,1100
271,MFB,prct5ISI,-0.3931307390335121,0.0023,1660_220816a_g1_loccar1_2,261,indigo,1101
272,MFB,prct5ISI,-0.430550895179741,0.0011666666666666,1660_220816a_g1_loccar1_2,528,indigo,1102
273,MFB,prct5ISI,-0.4338526736632316,0.0010666666666666,1660_220816a_g1_loccar1_2,189,indigo,1103
274,MFB,prct5ISI,-0.4327520808353992,0.0011,1660_220816a_g1_loccar1_2,545,indigo,1104
275,MFB,prct5ISI,-0.44155682345804187,0.0008333333333333,1660_220816a_g1_loccar1_2,542,indigo,1105
276,MFB,prct5ISI,-0.4393556378023804,0.0009,1660_220816a_g1_loccar1_2,543,indigo,1106
277,PkC_ss,prct5ISI,-0.38432599641087273,0.0025666666666666,1660_220816a_g1_loccar1_2,82,darkblue,1107
278,PkC_ss,prct5ISI,-0.3469058402646438,0.0037,1660_220816a_g1_loccar1_2,84,darkblue,1108
279,PkC_cs,prct5ISI,2.8200500218167464,0.0996166666666666,1660_220816a_g1_loccar1_2,83,orangered,1109
280,PkC_cs,prct5ISI,3.584411740744818,0.1227666666666666,1660_220816a_g1_loccar1_2,474,orangered,11010
281,MFB,prct5ISI,-0.43825504497455126,0.0009333333333333,1660_220817_g1_loccar1_2,196,indigo,11011
282,MFB,prct5ISI,-0.4294503023519086,0.0012,1660_220817_g1_loccar1_2,619,indigo,11012
283,MFB,prct5ISI,-0.4316514880075701,0.0011333333333333,1660_220817_g1_loccar1_2,617,indigo,11013
284,MFB,prct5ISI,-0.3215922052245515,0.0044666666666666,1660_220817_g1_loccar1_2,262,indigo,11014
285,MFB,prct5ISI,-0.43825504497455126,0.0009333333333333,1660_220817_g1_loccar1_2,603,indigo,11015
286,PkC_ss,prct5ISI,-0.2698643423165311,0.0060333333333333,1660_220817_g1_loccar1_2,143,darkblue,11016
287,PkC_ss,prct5ISI,-0.03984044130001881,0.013,1660_220817_g1_loccar1_2,639,darkblue,11017
288,PkC_ss,prct5ISI,-0.17961573043445606,0.0087666666666666,1660_220817_g1_loccar1_2,63,darkblue,11018
289,PkC_cs,prct5ISI,3.060254406490687,0.1068916666666666,1660_220817_g1_loccar1_2,116,orangered,11019
290,PkC_cs,prct5ISI,3.328248760067341,0.1150083333333333,1660_220817_g1_loccar1_2,638,orangered,11020
291,PkC_cs,prct5ISI,2.627996573360379,0.0938,1660_220817_g1_loccar1_2,643,orangered,11021
292,MLI,prct5ISI,-0.22584062920332432,0.0073666666666666,1652_220718a_g2_NoCarForReal_Loccar1_2,231,crimson,11022
293,MLI,prct5ISI,-0.36011295419860617,0.0033,1652_220718a_g2_NoCarForReal_Loccar1_2,216,crimson,11023
294,MLI,prct5ISI,-0.3447046546089856,0.0037666666666666,1652_220718a_g2_NoCarForReal_Loccar1_2,204,crimson,11024
295,MLI,prct5ISI,-0.3623141398542677,0.0032333333333333,1652_220718a_g2_NoCarForReal_Loccar1_2,199,crimson,11025
296,MLI,prct5ISI,-0.37662184661605913,0.0028,1652_220718a_g2_NoCarForReal_Loccar1_2,193,crimson,11026
297,MFB,prct5ISI,-0.41954496690143683,0.0015,1648_220406g0_KS2.0loccar1_2,199,indigo,11027
298,MFB,prct5ISI,-0.41954496690143683,0.0015,1648_220406g0_KS2.0loccar1_2,200,indigo,11028
299,MFB,prct5ISI,-0.38542658923870177,0.0025333333333333,1648_220406g0_KS2.0loccar1_2,204,indigo,11029
300,MFB,prct5ISI,-0.3821248107552112,0.0026333333333333,1648_220406g0_KS2.0loccar1_2,205,indigo,11030
301,MFB,prct5ISI,-0.4250479310405889,0.0013333333333333,1648_220406g0_KS2.0loccar1_2,206,indigo,11031
302,MFB,prct5ISI,-0.4338526736632316,0.0010666666666666,1648_220406g0_KS2.0loccar1_2,208,indigo,11032
