,label,feature,normalised_value,raw_value,dp,unit,color,plotting_id,lab
60,GrC,mfr,-0.6551493403827399,5.689620093945512,/media/npyx/4TB_ssd1/optag_recordings/GrC/18-12-13_YC008/18-12-13_YC008_probe1,459,brown,60,hausser
61,GrC,mfr,-0.3496603150852172,19.538540494446902,/media/npyx/4TB_ssd1/optag_recordings/GrC/18-12-13_YC008/18-12-13_YC008_probe1,471,brown,61,hausser
62,MFB,mfr,-0.4045299772363298,17.051100617374097,/media/npyx/4TB_ssd1/optag_recordings/MFB/21-06-13_DK283/21-06-13_DK283_probe1,79,purple,62,hausser
63,MFB,mfr,-0.4743234456097253,13.887110725964066,/media/npyx/4TB_ssd1/optag_recordings/MFB/21-06-13_DK283/21-06-13_DK283_probe1,99,purple,63,hausser
64,MFB,mfr,-0.0918312768173702,31.226861619671297,/media/npyx/4TB_ssd1/optag_recordings/MFB/21-06-13_DK283/21-06-13_DK283_probe1,185,purple,64,hausser
65,MFB,mfr,-0.493892086310228,12.999993595836928,/media/npyx/4TB_ssd1/optag_recordings/MFB/21-06-13_DK283/21-06-13_DK283_probe1,205,purple,65,hausser
66,MFB,mfr,-0.1082187407291428,30.483958718137607,/media/npyx/4TB_ssd1/optag_recordings/MFB/21-06-13_DK283/21-06-13_DK283_probe1,209,purple,66,hausser
67,PkC_ss,mfr,-0.7806548994117083,0.0,/media/npyx/4TB_ssd1/optag_recordings/MFB/21-06-13_DK283/21-06-13_DK283_probe1,132,gray,67,hausser
68,PkC_ss,mfr,1.0216022259409747,81.70282204389285,/media/npyx/4TB_ssd1/optag_recordings/MFB/21-06-13_DK283/21-06-13_DK283_probe1,177,blue,68,hausser
69,PkC_ss,mfr,2.74506353739426,159.83354537319948,/media/npyx/4TB_ssd1/optag_recordings/MFB/21-06-13_DK283/21-06-13_DK283_probe1,581,blue,69,hausser
70,PkC_ss,mfr,1.5350474727531418,104.97914873416352,/media/npyx/4TB_ssd1/optag_recordings/MFB/21-06-13_DK283/21-06-13_DK283_probe1,1841,blue,70,hausser
71,PkC_cs,mfr,-0.7488795989454441,1.440489086083304,/media/npyx/4TB_ssd1/optag_recordings/MFB/21-06-13_DK283/21-06-13_DK283_probe1,141,orange,71,hausser
72,PkC_cs,mfr,-0.7479126331210244,1.4843251378673334,/media/npyx/4TB_ssd1/optag_recordings/MFB/21-06-13_DK283/21-06-13_DK283_probe1,142,orange,72,hausser
73,PkC_cs,mfr,-0.7806548994117083,0.0,/media/npyx/4TB_ssd1/optag_recordings/MFB/21-06-13_DK283/21-06-13_DK283_probe1,1250,gray,73,hausser
74,MFB,mfr,-0.6683025971606134,5.093335478003193,/media/npyx/4TB_ssd1/optag_recordings/MFB/21-06-14_DK284/21-06-14_DK284_probe1,328,purple,74,hausser
75,MFB,mfr,-0.6159578453833591,7.466312052337362,/media/npyx/4TB_ssd1/optag_recordings/MFB/21-06-14_DK284/21-06-14_DK284_probe1,407,purple,75,hausser
76,MFB,mfr,-0.6099492698439766,7.738702473840279,/media/npyx/4TB_ssd1/optag_recordings/MFB/21-06-14_DK284/21-06-14_DK284_probe1,939,purple,76,hausser
77,MFB,mfr,-0.7219768627693743,2.660087241844288,/media/npyx/4TB_ssd1/optag_recordings/MFB/19-01-23_YC012,724,purple,77,hausser
78,MFB,mfr,-0.5703000257894217,9.536145849479723,/media/npyx/4TB_ssd1/optag_recordings/MFB/19-01-23_YC012,796,purple,78,hausser
79,MFB,mfr,-0.15269665212133,28.467614419513303,/media/npyx/4TB_ssd1/optag_recordings/MFB/19-01-23_YC012,1856,purple,79,hausser
80,MFB,mfr,-0.5372199163315889,11.035786637803373,/media/npyx/4TB_ssd1/optag_recordings/MFB/19-01-24_YC013/19-01-24_YC013_probe1,321,purple,80,hausser
81,MFB,mfr,-0.7806548994117083,0.0,/media/npyx/4TB_ssd1/optag_recordings/MFB/19-01-24_YC013/19-01-24_YC013_probe1,309,gray,81,hausser
82,PkC_ss,mfr,2.025541572321736,127.21501706110386,/media/npyx/4TB_ssd1/optag_recordings/MFB/19-01-24_YC013/19-01-24_YC013_probe1,71,blue,82,hausser
83,PkC_ss,mfr,2.6995736556711942,157.77132480603703,/media/npyx/4TB_ssd1/optag_recordings/MFB/19-01-24_YC013/19-01-24_YC013_probe1,166,blue,83,hausser
